"Row.names"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"M6-5"	"C8-2"	"D7-4"	"F4-3"	"A4-3"
"ASV1"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	355	0	0	2393
"ASV10"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	335	0	0	1396
"ASV100"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	526	0	0	0	0
"ASV1000"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Frischella"	"perrara"	79	0	0	0	0
"ASV1001"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"kullabergensis"	79	0	0	0	0
"ASV1002"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	79	0	0
"ASV1003"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	79	0	0
"ASV1004"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Veillonellales-Selenomonadales"	"Selenomonadaceae"	"Pectinatus"	NA	0	0	79	0	0
"ASV1005"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"mellis"	0	0	0	79	0
"ASV1006"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	79	0
"ASV1007"	"Bacteria"	NA	NA	NA	NA	NA	NA	78	0	0	0	0
"ASV1008"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Frischella"	"perrara"	78	0	0	0	0
"ASV1009"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	78	0
"ASV101"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA	0	523	0	0	0
"ASV1010"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Gilliamella"	"apicola"	77	0	0	0	0
"ASV1011"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Frischella"	"perrara"	77	0	0	0	0
"ASV1012"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	NA	NA	NA	NA	0	77	0	0	0
"ASV1013"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	77	0	0
"ASV1014"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Chromobacteriaceae"	"Paludibacterium"	NA	0	0	77	0	0
"ASV1015"	NA	NA	NA	NA	NA	NA	NA	0	0	0	77	0
"ASV1016"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"asteroides"	0	0	0	77	0
"ASV1017"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"kullabergensis"	76	0	0	0	0
"ASV1018"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	76	0	0
"ASV1019"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"asteroides"	0	0	0	76	0
"ASV102"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"helsingborgensis"	520	0	0	0	0
"ASV1020"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA	0	0	0	76	0
"ASV1021"	NA	NA	NA	NA	NA	NA	NA	0	0	0	76	0
"ASV1022"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA	75	0	0	0	0
"ASV1023"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"kullabergensis"	75	0	0	0	0
"ASV1024"	"Bacteria"	NA	NA	NA	NA	NA	NA	75	0	0	0	0
"ASV1025"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"helsingborgensis"	0	0	0	75	0
"ASV1026"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	74	0	0	0	0
"ASV1027"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	74	0	0
"ASV1028"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Veillonellales-Selenomonadales"	"Selenomonadaceae"	"Pectinatus"	NA	0	0	74	0	0
"ASV1029"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"indicum"	0	0	74	0	0
"ASV103"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Snodgrassella"	"alvi"	0	0	0	0	514
"ASV1030"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	0	74	0
"ASV1031"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	74	0
"ASV1032"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	0	74	0
"ASV1033"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Frischella"	"perrara"	73	0	0	0	0
"ASV1034"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	73	0	0	0	0
"ASV1035"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"apis"	0	0	73	0	0
"ASV1036"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Veillonellales-Selenomonadales"	"Selenomonadaceae"	"Pectinatus"	NA	0	0	73	0	0
"ASV1037"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Gilliamella"	"apicola"	0	0	73	0	0
"ASV1038"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	73	0
"ASV1039"	"Bacteria"	NA	NA	NA	NA	NA	NA	72	0	0	0	0
"ASV104"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	0	513
"ASV1040"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"apis"	72	0	0	0	0
"ASV1041"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	72	0	0	0	0
"ASV1042"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Snodgrassella"	NA	0	72	0	0	0
"ASV1043"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"asteroides"	0	0	72	0	0
"ASV1044"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	72	0	0
"ASV1045"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	72	0	0
"ASV1046"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	72	0	0
"ASV1047"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA	0	0	0	72	0
"ASV1048"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	0	72	0
"ASV1049"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Gilliamella"	"apicola"	71	0	0	0	0
"ASV105"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"helsingborgensis"	506	0	0	0	0
"ASV1050"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Snodgrassella"	"alvi"	71	0	0	0	0
"ASV1051"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	71	0	0	0	0
"ASV1052"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	71	0	0
"ASV1053"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	71	0	0
"ASV1054"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA	0	0	0	71	0
"ASV1055"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"asteroides"	0	0	0	71	0
